Company Name,Industry,Sub-Industry,Company type,Level of Office,Location
3M India Ltd," Electrical , Electronics, Food , FMCG , Agriculture, Office Automation , Stationery, Pharmaceuticals , Labs"," FMCG, Equipments , Machines , Surgical Products, Electrical , Electronics", India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560001"
Aarti Drugs Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400022"
Aarti Industries Ltd, Chemical, Industrial Chemical, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400080"
Aban Offshore Ltd," Petroleum , Oil , Gas , Refineries"," Exploration , Production , Storage", India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600008"
ABB India Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560055"
Abbott India Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400071"
ACB India Ltd," Mineral , Metal , Mining", Mining, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122001"
ACC Ltd," Cement , Marble , Stone etc", India's Top 500,ce: Head Office," / Maharashtra 
	- 400020"," Mumbai / Maharashtra 
	- 400020"
Adani Enterprises Ltd," Construction, Infrastructure, Power , Energy"," Housing , Commercial, Energy , Power Generation", India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380009"
Adani Ports and Special Economic Zone Ltd," Shipping , Marine", Shipping Agents, India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380009"
Adani Power Ltd," Power , Energy"," Energy , Power Generation, Distribution , Storage", India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380015"
Aditya Birla Fashion and Retail Ltd ( Pantaloons )," Retail, E -Commerce", Apparel Stores, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400059"
AIA Engineering Ltd, Engineering," Machineries , Instruments", India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 382410"
Ajanta India Ltd," Telecommunication , Mobile"," Telecom Infrastructure , Equipments", India's Top 500, Head Office," Morbi / Gujarat 
	- 363641"
Ajanta Pharma Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400067"
Akzo Nobel India Ltd, Chemical," Paints , Adhesives", India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122002"
Alembic Pharmaceuticals Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Vadodara / Gujarat 
	- 390003"
Alfa Laval India Ltd, Engineering," Machineries , Instruments", India's Top 500, Head Office," Pune / Maharashtra 
	- 411045"
Alkem Laboratories Ltd," Pharmaceuticals , Labs"," Diagnostic , Testing Labs", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
Allahabad Bank, BFSI, Banks, India's Top 500, Head Office," Kolkata / West Bengal 
	- 700001"
Amara Raja Batteries Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Tirupathi / Andhra Pradesh 
	- 517520"
Ambuja Cements Ltd," Cement , Marble , Stone etc", India's Top 500,ce: Head Office," / Maharashtra 
	- 400059"," Mumbai / Maharashtra 
	- 400059"
Amrapali Industries Ltd, BFSI, Financial Services, India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380009"
Andhra Bank, BFSI, Banks, India's Top 500, Head Office," Hyderabad / Telangana 
	- 500004"
Apar Industries Ltd," Electrical , Electronics, Petroleum , Oil , Gas , Refineries, Power , Energy"," Energy , Power Generation, Equipments, Petrol , Oil , Gas Products, Electrical , Electronics", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400071"
Apl Apollo Tubes Ltd, Iron & Steel, Iron & Steel, India's Top 500, Head Office," Ghaziabad / Uttar Pradesh 
	- 201010"
Apollo Hospitals Enterprises Ltd," Hospitals , Healthcare", Hospitals, India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600006"
Apollo Tyres Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122002"
Arvind Ltd," Garment , Textile"," Yarn , Fibre , Thread , Textile ,Accessories, Readymade Garments", India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380025"
Asahi India Glass Ltd," Construction, Infrastructure", Glass & Accessories, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122002"
Ashok Leyland Ltd," Automobile , Auto Ancillaries", Automobiles, India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600032"
Ashoka Buildcon Ltd," Construction, Infrastructure"," Housing , Commercial", India's Top 500, Head Office," Nashik / Maharashtra 
	- 422011"
Asian Paints Ltd, Chemical," Paints , Adhesives", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400055"
Asian Star Company Ltd," Gems , Jewellery , Watches"," Gems , Jewellery", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400021"
Astral Poly Technik Ltd," Chemical, Engineering"," Plastics , Rubber , Resins , Polymers, Machineries , Instruments", India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380059"
Atul Ltd, Chemical, Industrial Chemical, India's Top 500, Head Office," Valsad / Gujarat 
	- 396020"
AU Small Finance Bank Ltd, BFSI, Financial Services, India's Top 500, Head Office," Jaipur / Rajasthan 
	- 302001"
Aurobindo Pharma Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Hyderabad / Telangana 
	- 500084"
Avanti Feeds Ltd," Food , FMCG , Agriculture"," Food Processing, Animal Husbandry , Poultry", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500082"
AXIS Bank Ltd, BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400025"
Bajaj Auto Ltd," Automobile , Auto Ancillaries", Automobiles, India's Top 500, Head Office," Pune / Maharashtra 
	- 411035"
Bajaj Electricals Ltd," Consumer Durables, Home Appliances, Electrical , Electronics"," Consumer Goods, Electrical , Electronics", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400023"
Bajaj Hindusthan Sugar Ltd," Food , FMCG , Agriculture", Sugar, India's Top 500, Head Office," Lucknow / Uttar Pradesh 
	- 226010"
Balkrishna Industries Ltd (BKT)," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
Balmer Lawrie & Co. Ltd," Chemical, Courier , Logistics , Packaging , Transport"," Industrial Chemical, Courier , Logistics , Warehouse , Transport, Packaging-Material , Machinery", India's Top 500, Head Office," Kolkata / West Bengal 
	- 700001"
Balrampur Chini Mills Ltd," Food , FMCG , Agriculture", Sugar, India's Top 500, Head Office," Kolkata / West Bengal 
	- 700020"
Banco Products India Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Vadodara / Gujarat 
	- 390005"
Bank Of Baroda, BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400051"
Bank Of India, BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400051"
Bank Of Maharashtra, BFSI, Banks, India's Top 500, Head Office," Pune / Maharashtra 
	- 411005"
BASF India Ltd, Chemical, Industrial Chemical, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400705"
Bata India Ltd," Retail, Leather , Accessories", Leather & Accessories, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122002"
Bayer CropScience Ltd, Chemical, Agro Chemical, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400607"
BEML Ltd," Capital Goods , Machines", India's Top 500,ce: Head Office,"ore / Bengaluru / Karnataka 
	- 560027"," Bangalore / Bengaluru / Karnataka 
	- 560027"
Berger Paints India Ltd, Chemical," Paints , Adhesives", India's Top 500, Head Office," Kolkata / West Bengal 
	- 700017"
BGR Energy Systems Ltd," Environment, Petroleum , Oil , Gas , Refineries, Power , Energy, Engineering"," Environment Engineering, Machineries , Instruments, Machineries & Equipments, Solar Energy", India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600018"
Bharat Electronics Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560013"
Bharat Forge Ltd, Engineering," Machineries , Instruments", India's Top 500, Head Office," Pune / Maharashtra 
	- 411036"
Bharat Heavy Electricals Ltd," Power , Energy, Engineering, Capital Goods , Machines"," Equipments, Machineries , Instruments", India's Top 500, Head Office," New Delhi / Delhi 
	- 110049"
Bharat Petroleum Corporation Ltd," Petroleum , Oil , Gas , Refineries"," Exploration , Production , Storage, Distribution , Marketing", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400001"
Bharti Airtel Ltd," Telecommunication , Mobile", Telecom VAS, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122001"
Bharti Infratel Ltd.," Telecommunication , Mobile"," Telecom Infrastructure , Equipments", India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122001"
Biocon Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560100"
Birla Corporation Ltd," Cement , Marble , Stone etc", India's Top 500,ce: Head Office,"a / West Bengal 
	- 700001"," Kolkata / West Bengal 
	- 700001"
Blue Dart Express Ltd," Courier , Logistics , Packaging , Transport"," Courier , Logistics , Warehouse , Transport", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400099"
Blue Star Ltd," Consumer Durables, Home Appliances", Consumer Goods, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400020"
Bombay Dyeing and Manufacturing Company Ltd," Retail, Garment , Textile"," Furnishings, Furniture , Furnishing , Sanitary Outlets", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400025"
Bombay Rayon Fashions Ltd," Retail, Garment , Textile"," Readymade Garments, Apparel Stores", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400054"
Bosch Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560030"
Britannia Industries Ltd.," Food , FMCG , Agriculture", FMCG, India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560048"
BS Ltd," Power , Energy, Telecommunication , Mobile"," Telecom Infrastructure , Equipments, Electrical , Power Infrastructure", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500034"
Cadila Healthcare Ltd (Zydus)," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380015"
Canara Bank, BFSI, Banks, India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560002"
Capital First Ltd, BFSI, Financial Services, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
Carborundum Universal Ltd," Cement , Marble , Stone etc", India's Top 500,ce: Head Office,"i / Tamil Nadu 
	- 600001"," Chennai / Tamil Nadu 
	- 600001"
Castrol India Ltd," Petroleum , Oil , Gas , Refineries"," Petrol , Oil , Gas Products", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400093"
Ceat Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400030"
Central Bank Of India., BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400021"
Century Enka Ltd," Garment , Textile"," Yarn , Fibre , Thread , Textile ,Accessories", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400020"
Century Plyboards India Ltd.," Wood , Plastic  Furniture , Fixtures , Fittings", India's Top 500,ce: Head Office,"a / West Bengal 
	- 700001"," Kolkata / West Bengal 
	- 700001"
Century Textiles & Industries Ltd," Garment , Textile"," Yarn , Fibre , Thread , Textile ,Accessories", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400030"
CESC Ltd," Power , Energy"," Energy , Power Generation, Distribution , Storage", India's Top 500, Head Office," Kolkata / West Bengal 
	- 700072"
CG Power and Industrial Solutions Ltd (Crompton Greaves)," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400030"
Chambal Fertilisers & Chemicals Ltd, Chemical, Agro Chemical, India's Top 500, Head Office," New Delhi / Delhi 
	- 110025"
Chennai Petroleum Corp. Ltd," Petroleum , Oil , Gas , Refineries"," Petrol , Oil , Gas Products, Refineries", India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600018"
Cholamandalam Investment & Finance Co Ltd, BFSI, Financial Services, India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600001"
Cipla Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
City Union Bank Ltd, BFSI, Banks, India's Top 500, Head Office," Kumbakonam / Tamil Nadu 
	- 612001"
Colgate - Palmolive India Ltd," Food , FMCG , Agriculture", FMCG, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400076"
Compuage Infocom Ltd, Information Technology (IT), IT- Hardware, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400063"
Container Corporation Of India Ltd," Courier , Logistics , Packaging , Transport"," Courier , Logistics , Warehouse , Transport", India's Top 500, Head Office," New Delhi / Delhi 
	- 110076"
Coromandel International Ltd., Chemical, Agro Chemical, India's Top 500, Head Office," Secunderabad / Telangana 
	- 500003"
Corporation Bank, BFSI, Banks, India's Top 500, Head Office," Mangalore / Karnataka 
	- 575001"
Cosmo Films Ltd," Courier , Logistics , Packaging , Transport"," Packaging-Material , Machinery", India's Top 500, Head Office," New Delhi / Delhi 
	- 110025"
Cox & Kings Ltd," Travel , Tourism"," Travel Agencies , Taxi Services", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400001"
CRISIL Ltd, BFSI, Financial Services, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400093"
Cummins India Ltd," Electrical , Electronics, Power , Energy, Engineering, Capital Goods , Machines"," Equipments, Machineries , Instruments, Electrical , Electronics", India's Top 500, Head Office," Pune / Maharashtra 
	- 411045"
Cyient Ltd, Information Technology (IT)," IT Software , QA -Testing", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500081"
Dabur India Ltd," Food , FMCG , Agriculture"," FMCG, Food Processing", India's Top 500, Head Office," Ghaziabad / Uttar Pradesh 
	- 201010"
Dalmia Bharat Sugar & Industries Ltd," Food , FMCG , Agriculture", Sugar, India's Top 500, Head Office," New Delhi / Delhi 
	- 110001"
DB Corp Ltd," Advertising , Media"," Newspapers ,  Magazines , Journals", India's Top 500, Head Office," Bhopal / Madhya Pradesh 
	- 462011"
DCB Bank Ltd, BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
DCM Shriram Ltd," Chemical, Cement , Marble , Stone etc"," Agro Chemical, Industrial Chemical", India's Top 500, Head Office," New Delhi / Delhi 
	- 110001"
DCW Ltd, Chemical, Industrial Chemical, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400021"
Deepak Fertilisers & Petrochemicals Corporation Ltd, Chemical, Agro Chemical, India's Top 500, Head Office," Pune / Maharashtra 
	- 411036"
Deepak Nitrite Ltd, Chemical, Industrial Chemical, India's Top 500, Head Office," Vadodara / Gujarat 
	- 390024"
Dena Bank, BFSI, Banks, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400051"
Dewan Housing Finance Corporation Ltd, BFSI, Financial Services, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400099"
Dhampur Sugar Mills Ltd," Food , FMCG , Agriculture", Sugar, India's Top 500, Head Office," New Delhi / Delhi 
	- 110020"
Dhanlaxmi Bank Ltd, BFSI, Banks, India's Top 500, Head Office," Thrissur / Kerala 
	- 680001"
Diamond Power Infrastructure Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Vadodara / Gujarat 
	- 390003"
DishTV India Ltd," Advertising , Media"," TV Cable , Broadcast Networks", India's Top 500, Head Office," Noida / Uttar Pradesh 
	- 201301"
Divis Laboratories Ltd.," Pharmaceuticals , Labs"," Diagnostic , Testing Labs", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500032"
DLF Ltd," Construction, Infrastructure"," Housing , Commercial", India's Top 500, Head Office," New Delhi / Delhi 
	- 110001"
Dominos Pizza India Ltd (Jubilant Food Works), Retail, Fast Food Outlets, India's Top 500, Head Office," Noida / Uttar Pradesh 
	- 201304"
Dr Reddys Laboratories Ltd," Pharmaceuticals , Labs"," Diagnostic , Testing Labs", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500034"
Dynamatic Technologies Ltd, Engineering," Machineries , Instruments", India's Top 500, Head Office," Bangalore / Bengaluru / Karnataka 
	- 560058"
E.I.D Parry India Ltd, Chemical, Agro Chemical, India's Top 500, Head Office," Chennai / Tamil Nadu 
	- 600001"
Eicher Motors Ltd," Automobile , Auto Ancillaries", Automobiles, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122001"
EIH Ltd (*****), Hotels & Restaurants, 5 Star Hotels, India's Top 500, Head Office," New Delhi / Delhi 
	- 110054"
Emami Ltd," Food , FMCG , Agriculture", FMCG, India's Top 500, Head Office," Kolkata / West Bengal 
	- 700107"
Emami Paper Mills Ltd," Paper , Publishing , Printing"," Pulp , Paper", India's Top 500, Head Office," Kolkata / West Bengal 
	- 700107"
Endurance Technologies Ltd," Engineering, Automobile , Auto Ancillaries"," Machineries , Instruments, Auto Ancillaries", India's Top 500, Head Office," Aurangabad / Maharashtra 
	- 431136"
Engineers India Ltd, Engineering," Machineries , Instruments", India's Top 500, Head Office," New Delhi / Delhi 
	- 110066"
Entertainment Network India Ltd( 98.3 FM Radio Mirchi )," Advertising , Media"," TV , Radio Channels , News Agency", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400013"
Escorts Ltd," Construction, Infrastructure, Automobile , Auto Ancillaries"," Construction Machinery, Auto Ancillaries", India's Top 500, Head Office," Faridabad / Haryana 
	- 121003"
Eveready Industries India Ltd," Consumer Durables, Home Appliances, Electrical , Electronics"," Consumer Goods, Electrical , Electronics", India's Top 500, Head Office," Kolkata / West Bengal 
	- 700019"
Everest Industries Ltd," Engineering, Cement , Marble , Stone etc"," Machineries , Instruments", India's Top 500, Head Office," Noida / Uttar Pradesh 
	- 201301"
Exide Industries Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Kolkata / West Bengal 
	- 700020"
Federal-Mogul Goetze India Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122002"
Finolex Cables Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Pune / Maharashtra 
	- 411018"
Finolex Industries Ltd," Electrical , Electronics"," Electrical , Electronics", India's Top 500, Head Office," Pune / Maharashtra 
	- 411019"
Firstsource Solutions Ltd," ITES - BPO , KPO , LPO , MT"," BPO , KPO , Call centre", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400064"
Force Motors Ltd," Automobile , Auto Ancillaries", Automobiles, India's Top 500, Head Office," Pune / Maharashtra 
	- 411035"
Fortis Healthcare Ltd," Hospitals , Healthcare", Hospitals, India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122001"
Future Consumer Ltd," Food , FMCG , Agriculture"," Agriculture , Horticulture", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400083"
Future Enterprises Ltd," Retail, Garment , Textile"," Readymade Garments, Fashion Designers, Associations, Furnishings, Apparel Stores", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400060"
Future Lifestyle Fashions Ltd, Retail, Apparel Stores, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400060"
Gabriel India Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," Khed / Maharashtra 
	- 410501"
GAIL India Ltd," Petroleum , Oil , Gas , Refineries"," Exploration , Production , Storage, Distribution , Marketing", India's Top 500, Head Office," New Delhi / Delhi 
	- 110066"
Gammon India Ltd," Construction, Infrastructure, Power , Energy"," Infrastructure, Construction Engineering, Electrical , Power Infrastructure", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400025"
Garden Silk Mills Ltd," Garment , Textile"," Yarn , Fibre , Thread , Textile ,Accessories", India's Top 500, Head Office," Surat / Gujarat 
	- 395010"
Garware Wall Ropes Ltd, Chemical," Plastics , Rubber , Resins , Polymers", India's Top 500, Head Office," Pune / Maharashtra 
	- 411019"
Gayatri Projects Ltd," Construction, Infrastructure"," Housing , Commercial", India's Top 500, Head Office," Hyderabad / Telangana 
	- 500082"
GE Power India ( Alstom India Ltd )," Power , Energy"," Energy , Power Generation", India's Top 500, Head Office," Noida / Uttar Pradesh 
	- 201301"
GE T&D; India Ltd ( Alstom T&D; India Ltd )," Power , Energy"," Energy , Power Generation, Distribution , Storage", India's Top 500, Head Office," Noida / Uttar Pradesh 
	- 201301"
GHCL Ltd," Chemical, Garment , Textile"," Industrial Chemical, Yarn , Fibre , Thread , Textile ,Accessories", India's Top 500, Head Office," Noida / Uttar Pradesh 
	- 201301"
Gillette India Ltd(P & G)," Food , FMCG , Agriculture", FMCG, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400099"
GlaxoSmithkline Consumer Healthcare Ltd," Food , FMCG , Agriculture, Hospitals , Healthcare, Pharmaceuticals , Labs"," FMCG, Healthcare Services, Pharmaceuticals", India's Top 500, Head Office," Gurgaon / Gurugram / Haryana 
	- 122002"
GlaxoSmithKline Pharmaceuticals Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400030"
Glenmark Pharmaceuticals Ltd," Pharmaceuticals , Labs", Pharmaceuticals, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400026"
Globus Spirits Ltd," Food , FMCG , Agriculture", Beverages, India's Top 500, Head Office," New Delhi / Delhi 
	- 110065"
Godawari Power & Ispat Ltd," Power , Energy"," Energy , Power Generation", India's Top 500, Head Office," Raipur / Chattisgarh 
	- 493111"
Godfrey Phillips India Ltd," Food , FMCG , Agriculture", FMCG, India's Top 500, Head Office," New Delhi / Delhi 
	- 110065"
Godrej Agrovet Ltd," Food , FMCG , Agriculture", Food Processing, India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400079"
Godrej Consumer Products Ltd.," Food , FMCG , Agriculture"," Agriculture , Horticulture", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400079"
Godrej Industries Ltd," Chemical, Food , FMCG , Agriculture"," Industrial Chemical, Edible Oil , Products", India's Top 500, Head Office," Mumbai / Maharashtra 
	- 400079"
Gokul Agro Resources Ltd," Food , FMCG , Agriculture"," Edible Oil , Products", India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380060"
Gokul Refoils & Solvent Ltd," Food , FMCG , Agriculture"," Edible Oil , Products, Food Processing", India's Top 500, Head Office," Ahmedabad / Gujarat 
	- 380009"
Goodyear India Ltd," Automobile , Auto Ancillaries", Auto Ancillaries, India's Top 500, Head Office," New Delhi / Delhi 
	- 110025"
